ProcesoSancionId,Expediente,ProcesoSancionTipoNombre,ProcesoSancionEstado,FechaInicio,FechaTermino,ConfirmaPdC,MultaTotalUTA,LinkSNIFA,UnidadFiscalizableId,Nombre,RegionNombre,ComunaNombre,Latitud,Longitud,CategoriaEconomicaNombre,SubCategoriaEconomicaNombre,LinkSNIFA_UF,FechaActualizacion,DuracionDias
62,D-023-2013,Denuncia,Terminado - Sanción,2013-11-20,2014-02-06,No,101.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/62                            ,11794,CERVECERIA KROSS- CURACAVI,Región Metropolitana,Curacaví,-33.3633,-71.1551,Agroindustrias,Vinificación / producción de alcohol,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11794                         ,2026-09-12,78.0
63,D-024-2013,Denuncia,Terminado - Sanción,2013-11-21,2014-02-14,No,8.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/63                            ,2899,SUPERMERCADO 10,Región Metropolitana,Peñalolén,-33.506269,-70.57961,Equipamiento,Centro comercial,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2899                          ,2026-09-12,85.0
64,F-026-2013,Fiscalización,Terminado - Sanción,2013-11-22,2015-10-26,No,42.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/64                            ,2535,TURBERA GRAZZIA SAN JUAN,Región de Magallanes y la Antártica Chilena,Punta Arenas,-53.6626,-70.968,Minería,Minera no metálica,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2535                          ,2026-09-12,703.0
65,D-025-2013,Denuncia,Terminado - Sanción,2013-11-21,2014-02-18,No,6.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/65                            ,13305,OTRA FÁBRICAFABRICA DE ESTRUCTURAS METÁLICAS Y SERVICIO DE OXICORTE,Región Metropolitana,San Miguel,-33.5142188,-70.6594195,Instalación fabril,Otras,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13305                         ,2026-09-12,89.0
68,F-028-2013,Fiscalización,Terminado - Sanción,2013-11-27,2014-02-25,No,0.2,https://snifa.sma.gob.cl/Sancionatorio/Ficha/68                            ,13287,LEÑERÍAESTABLECIMIENTO 500,Región de la Araucanía,Temuco,-38.7402096040632,-72.6112420333504,Equipamiento,Centro de comercialización de leña,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13287                         ,2026-09-12,90.0
69,F-029-2013,Fiscalización,Terminado - Sanción,2013-11-27,2014-02-25,No,0.25,https://snifa.sma.gob.cl/Sancionatorio/Ficha/69                            ,13289,FERIA AGRÍCOLAFRUTAS Y VERDURAS LA GRANJA,Región de la Araucanía,Temuco,-38.7378794,-72.6321228,Agroindustrias,Feria agrícola,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13289                         ,2026-09-12,90.0
70,F-036-2013,Fiscalización,Terminado - Sanción,2013-11-27,2014-03-27,No,0.2,https://snifa.sma.gob.cl/Sancionatorio/Ficha/70                            ,13331,LEÑERÍASAN CRISTÓBAL,Región de la Araucanía,Temuco,-38.7401717368111,-72.5779469269837,Equipamiento,Centro de comercialización de leña,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13331                         ,2026-09-12,120.0
76,F-034-2013,Fiscalización,Terminado - Sanción,2013-11-27,2014-02-25,No,0.2,https://snifa.sma.gob.cl/Sancionatorio/Ficha/76                            ,13310,UNIDAD MÓVILCAMIÓN PATENTE FTLB20,Región de la Araucanía,Temuco,-38.7359018,-72.5903739,Otras categorías,Unidades o equipos móviles,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/13310                         ,2026-09-12,90.0
79,F-038-2013,Fiscalización,Terminado - Sanción,2013-12-09,2017-10-25,No,320.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/79                            ,2476,VERTEDERO TEMUCO,Región de la Araucanía,Temuco,-38.6615579083929,-72.7202278201294,Saneamiento Ambiental,Vertedero,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2476                          ,2026-09-12,1416.0
82,F-002-2014,Fiscalización,Terminado - Sanción,2014-01-14,2015-02-26,No,9.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/82                            ,2433,PLANTA VIDRIOS LIRQUEN,Región del Biobío,Penco,-36.7146,-72.9761,Instalación fabril,Planta de cristalería,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2433                          ,2026-09-12,408.0
1088,D-004-2014,Denuncia,Terminado - Sanción,2014-02-21,2016-07-29,No,1.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1088                          ,11163,LOTEO RIBERA DE LA DEHESA,Región de Los Ríos,Valdivia,-39.7295585762704,-73.2325726722314,Vivienda e Inmobiliarios,Conjunto habitacional,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11163                         ,2026-09-12,889.0
1092,F-008-2014,Fiscalización,Terminado - Sanción,2014-02-26,2014-09-05,No,14.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1092                          ,11196,QUESERA ARQUENCO,Región de la Araucanía,Vilcún,-38.6849,-72.3473,Agroindustrias,Elaboración de productos lácteos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11196                         ,2026-09-12,191.0
1097,F-013-2014,Fiscalización,Terminado - Sanción,2014-02-26,2015-03-10,No,10.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1097                          ,11331,FILOMENA NARVAEZ ELGUETA,Región de Valparaíso,Casablanca,-33.3505,-71.3438,Agroindustrias,Elaboración de productos lácteos,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/11331                         ,2026-09-12,377.0
1102,F-018-2014,Fiscalización,Terminado - Sanción,2014-02-26,2014-09-05,No,13.0,https://snifa.sma.gob.cl/Sancionatorio/Ficha/1102                          ,2692,TALLER SERVICIOS DEL SUR,Región de Aysén del General Carlos Ibáñez del Campo,Aysén,-45.3799,-72.7105,Pesca y Acuicultura,Centro de redes,http://snifa.sma.gob.cl/UnidadFiscalizable/Ficha/2692                          ,2026-09-12,191.0
